name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
amanah,1,0,1,0,0,0,1,1,2,0,1,2,0,1,1,0,1,4,1,0,1,2,0,0,1,1,0,3,4,0,2
amanah,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bn,1,6,1,1,1,1,6,1,2,0,2,7,3,9,4,3,8,3,4,6,12,12,8,2,6,15,1,3,3,0,3
bn,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
dap,1,2,1,1,1,2,3,1,5,1,2,10,7,15,6,8,4,6,3,8,9,7,3,2,7,11,5,4,4,0,13
dap,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0
gerakan,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,1,2,0,0,0,0,1
gerakan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keadilan,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
keadilan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mca,1,0,0,1,0,0,3,0,1,0,1,1,1,3,0,2,0,2,0,0,1,2,3,0,2,1,1,0,0,0,2
mca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
pakatan,1,0,1,1,1,0,3,0,2,1,0,3,3,3,0,0,1,1,2,1,2,0,0,0,4,7,1,2,0,0,2
pakatan,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pakatan rakyat,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1
pakatan rakyat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pakatan harapan,1,0,1,1,1,0,2,0,1,1,0,2,1,1,0,0,1,0,0,1,2,0,0,0,3,1,1,0,0,0,2
pakatan harapan,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
parti islam amanah negara ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti islam amanah negara ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti pribumi bersatu malaysia,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1
parti pribumi bersatu malaysia,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pas,1,10,2,1,1,0,9,5,2,0,1,16,5,15,9,10,12,9,5,4,6,11,6,1,7,4,1,13,11,2,6
pas,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2
pbb,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pbb,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
pbs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbrs,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbrs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ph,1,0,1,1,1,1,2,1,1,0,1,3,6,4,4,2,3,2,2,4,2,6,4,1,3,15,1,2,0,0,1
ph,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pkr,1,0,1,3,1,0,2,0,1,0,1,1,1,6,3,1,4,5,5,5,3,5,0,2,4,3,1,2,3,0,3
pkr,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ppbm,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1
ppbm,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppp,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ppp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
prs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spdp,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spdp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supp,1,1,1,0,0,0,3,2,4,0,1,5,3,7,2,4,6,4,2,14,6,5,5,5,2,15,4,2,2,1,1
supp,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
swp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
