name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
amanah,1,1,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,2,0,4,1,0,1,0,0,0,1,0
amanah,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bn,1,2,4,4,0,2,0,0,3,1,2,2,4,4,4,0,1,6,5,1,2,2,0,7,2,7,5,0,0,1,2,1
bn,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dap,1,3,5,4,0,0,0,2,1,1,1,1,6,2,3,2,4,4,5,3,1,4,3,9,4,4,5,0,0,0,6,0
dap,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gerakan,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gerakan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keadilan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
keadilan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimma,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mca,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,6,2,0,0,0,1,0,1,1,0,0,0,0,0
mca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pakatan,1,1,2,1,0,1,0,0,1,0,1,0,2,1,1,1,0,0,2,0,1,4,1,3,2,2,1,0,0,0,1,0
pakatan,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pakatan rakyat,1,0,2,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
pakatan rakyat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pakatan harapan,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,2,0,1,4,1,3,1,1,0,0,0,0,1,0
pakatan harapan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti islam amanah negara ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti islam amanah negara ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parti pribumi bersatu malaysia,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,1,0
parti pribumi bersatu malaysia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
