Topic title: [再掀話題？] 黃明志2017新年歌【那隻雞拜年 Chicken Year 】
username,date,text
teachew,20170108,"做嘛该人家一定要回答你磔？请问这一道提问你有没有付钱？如果有付钱，那就拿号码过去那边等，号码到了才轮到你。"
pupuman,20170108,""
q(o_o)p,20170108,"我是真中立，囻陣、稀土 兩邊都鞭撻"
pupuman,20170108,"不要那样，大家那么熟，透露一点， 他们减你花红?"
q(o_o)p,20170108,"我兩邊的錢都沒有拿，你有康頭可以介紹給我"
pupuman,20170108,"你和kojin谈吧。他那么卖力， 一定升职了，该是领队  "
q(o_o)p,20170108,"kojin 很忌才的"
pupuman,20170108,"怪不得，他有本事拉江夏下来，自己上位，心胸有点狭窄，找bashlyner吧。听说他上了经理级位置"
q(o_o)p,20170107,"前陣子因 MV 涉嫌侮辱 回教 的爭議人物 黃明志 推出新年歌，勢必掀起新一波熱議"
q(o_o)p,20170107," Ivince 艾盈丝 's Talk35 minutes ago馬來西亞人聽了才有感覺﻿ Zhaoda Xu23 minutes ago影射大马的总理？﻿  wingingful1 hour ago那只鸡＝najib﻿"
拓也哥,20170107,"最后粗口的那一幕   最精彩 "
kingpower2016,20170107,"看到一半时候 我也猜测到最后会有这一段。话说曲没有很动听。"
q(o_o)p,20170107,"Ayam tu 盯上了我的錢卻説他新年會派錢雞説那 BR1M 夠用一年祇有那貪心人兒才會嫌Ayam tu 吻上了我的臉告訴我現在有危險雖説那河馬不掌權只怕那 C4 爆炸在身邊 趁著那大選在眉睫起一個清早看雞拜年讓 Bangla 湧到村裏面畵個 X 在天秤旁邊Ayam tu 盯上了我的錢告訴我新年要搶錢新年後處處漲翻天別讓雞掌權一年又一年別讓雞掌權一年又一年~~"
kojin,20170107,"你始终都不敢回答如果淋神讲的话可以信屎都可以吃？2007年反对新经济政策2015年全力支持新经济政策"
北方未明,20170107,"受的教训还不够，事事都要扯政治，之后还有狗年和猪年，那时候是不是要唱到个个街头打圣战？"
TMNUTsucks,20170108,"唱又如何？街头打圣战？不要只是讲，有种就放马过来。"
北方未明,20170108,"什么有种放马过来？？"
BILLCLINTON,20170108,"怎么你酱说？他得罪到你的鸡？明年又得罪到你的狗，你的猪？"
北方未明,20170108,"叫人脑子要放干净点有问题吗？你怎么又那么激动？进来就急着乱扣帽子难道黄明志是你的偶像还是亲属？ 好好的一个新年，喜欢把不干净的东西混为一谈。然后给大家献上最佳问候语，鸡年中间加上一个拜字，三个字一起读，保证今年华人过个大好年 也许最近的新年比较缺乏气氛，黄明志要做点高潮也是可理解的"
mchen3389,20170108,"当带上有色眼镜看世界，自然都是眼镜的世界。。未审先判，对号入座，什么都错。"
ohia2016,20170108,"这瓜从呆丸学了搞族群对立，脏话满口，把他阉掉算了。"
阿镖叔,20170108,"会让中立听了不爽的歌应该会有90%的华人喜欢！"
q(o_o)p,20170108,"不會啊，聽了《雞拜年》很開心，聽完票照投 囻陣 "
阿镖叔,20170108,"除了你其他投刮阵的中立已经开始有点按捺不住了！"
alienwong,20170108,"那只鸡如果觉得自己是英明的人，就敢敢在马来西亚街道自己走路～～～"
q(o_o)p,20170108,"講到好像 林神、旺姐 出門不用保鏢一樣 "
ivan002,20170108,"拍得太好了"
JowY,20170108,"可以表幫這個爛仔打免費廣告嗎？"
q(o_o)p,20170109,"memang 都是 百越人種"
盡用話題,20170109,"很好！鸡拜年！"
.@巴黎貓,20170109,"再拿一分就可上傳你那鹹煎餅臉給人看了  "
q(o_o)p,20170115,"你們要抓的雞"
Ex-5th,20170115,"在大是大非前依然不影响你的原则，给你个赞"
