name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
马华,1,36,26,28,11,12,30,32,27,18,11,7,9,13,21,11,12,17,9,7,8,12,1,1,7,10,7,16,8,17,5
马华,2,4,2,5,1,2,8,8,6,4,2,3,0,2,5,0,4,3,2,1,1,3,1,2,3,1,3,1,4,1,1
巫統,1,0,0,2,1,2,3,2,1,2,2,0,0,1,2,1,2,0,1,1,0,0,0,0,0,0,3,1,0,1,0
巫統,2,0,0,1,0,1,1,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
火贱,1,24,25,16,12,6,17,21,19,16,27,16,11,2,15,7,8,15,7,8,3,4,5,5,6,5,9,5,6,8,2
火贱,2,5,5,11,0,2,5,6,8,8,9,2,8,3,5,0,3,3,4,2,1,0,4,4,2,2,4,3,6,4,3
行动党,1,7,5,10,2,4,5,7,15,6,15,5,3,5,4,4,2,2,5,3,4,7,2,0,5,8,3,3,3,4,1
行动党,2,1,3,2,0,1,2,2,3,2,2,4,1,1,0,0,0,2,2,1,0,1,2,1,0,0,2,2,5,1,0
誠信黨,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
誠信黨,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
团结党,1,5,0,1,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,4,0
团结党,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
蓝眼,1,1,1,1,2,1,1,4,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0
蓝眼,2,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0
民聯,1,3,3,2,1,1,1,3,0,4,7,3,3,5,5,1,1,2,0,0,1,1,0,0,2,1,4,1,0,4,0
民聯,2,0,0,4,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
民政,1,3,2,10,2,2,3,11,7,5,2,1,3,1,2,0,1,0,2,3,4,5,1,0,4,1,2,1,0,5,1
民政,2,0,1,3,0,1,3,1,1,1,1,2,2,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0
希盟,1,5,4,2,0,6,2,10,8,5,11,5,2,4,2,2,5,13,2,2,5,3,1,3,3,5,3,1,1,5,0
希盟,2,3,2,5,0,3,1,2,1,1,4,1,0,3,1,0,2,2,1,1,0,0,1,1,1,1,6,1,2,2,0
